Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
48802702673,20pcs Korean Mini Matte Hair Claw Clips (Coffee Series),230,11,One-Stop Home Shop.ph,50%,₱115.00,https://shopee.ph/product/1685822416/48802702673,https://s.shopee.ph/9paLBRusQC
26382122476,Women Shawl Sunscreen Women Big Brim Roof Sun Hat UPF Hat Full Neck UV With Beach Protection Bucket,123,1K+,OnlineShopping,6%,₱7.38,https://shopee.ph/product/36316220/26382122476,https://s.shopee.ph/9fGuz8vVlB
5658697396,"PAWNABLE 18k Saudi gold necklace heart ❤️ pendant 18""",13.7K,686,S&S TREASUREshop,4%,₱547.60,https://shopee.ph/product/3996335/5658697396,https://s.shopee.ph/9UxUmpw96A
22463454399,silver ring original 925 italy legit Hypoallergenic Tarnish Resustant Best Friend Matching Rings,990,1K+,Star Diamond Jewelry Store,14%,₱138.60,https://shopee.ph/product/1141915469/22463454399,https://s.shopee.ph/9Ke4aWwmR9
44005295002,Fashion Cotton Scarf For Women High Quality Cotton Linen Material Versatile Shawl Letter Scarves,118,10K+,Hair Haven,10%,₱11.80,https://shopee.ph/product/1003942294/44005295002,https://s.shopee.ph/AUq1yfsL4O
42503438899,"Women's Summer Sunshade Hat with Face Mask - Anti-uv, Breathable, FoldableFashion Flower Bucket Hat",76,4K+,Napakagandang,9%,₱6.84,https://shopee.ph/product/615699580/42503438899,https://s.shopee.ph/AKWbmMsyPN
18680064046,Sunnies Studios Optical Frame Jensen Eyeglasses with Free Replaceable Lens Grades for Men and Women,2.0K,1K+,Sunnies Studios,12%,₱239.40,https://shopee.ph/product/126213861/18680064046,https://s.shopee.ph/AADBa3tbkM
23602544850,Japan Korea New Style Sweet Cute Tulip Flower Temperament Elegant Metal Fashion Clamp,50,10K+,shuohuangshipin.ph,6%,₱3.00,https://shopee.ph/product/430517770/23602544850,https://s.shopee.ph/9ztlNkuF5L
24394535175,"90cm X90cm scarf, fashionable and versatile, high-end multifunctional silk scarf with letter elements, large square scarf, sun protection shawl, headscarf",86,2K+,☘️Time Story .ph☘️,11%,₱9.46,https://shopee.ph/product/988791904/24394535175,https://s.shopee.ph/8V4xazzx84
42961865172,Solid Color Woven Fisherman Hat For Women Summer Hollowed Breathable Suitable For Outdoor Activities Trendy And Temperament Bucket Hats,252,200,Sulee.ph,10%,₱25.20,https://shopee.ph/product/1306672739/42961865172,https://s.shopee.ph/8KlXOh0aT3
18487897432,Vnox Personalized Name Pendant Necklace for Women Baby Teen(Hypoallergenic & Non-Tarnishing),207,6K+,Vnox Global Store,10%,₱20.70,https://shopee.ph/product/235558693/18487897432,https://s.shopee.ph/8AS7CO1Do2
29165598456,67pcs/set Korean Hair Clip For Women Hair Tie Stretch Rubber Hairband Hair Claw Set Hair Accessories,75,10K+,E&S Accessories Store,10%,₱7.50,https://shopee.ph/product/527215582/29165598456,https://s.shopee.ph/808h051r91
27776468213,90CM Headscarf Shawl hijab Silk scarf Belt Imitation Silk Square Scarf 90x90cm bandana beach towel for Women and Man D108,95,1K+,Viva la vida Fashion Store,13%,₱12.35,https://shopee.ph/product/1370801495/27776468213,https://s.shopee.ph/9AKeODxPmG
28934570481,Summer Sun Big Brim Printed Foldable Knitted Hat Casual Outdoor Beach Cap Women UV Protected Hat,109,3K+,XMMY FASHION,4%,₱4.36,https://shopee.ph/product/563412991/28934570481,https://s.shopee.ph/901EBuy37F
28778146609,【In Stock】Summer Breathable Anti-Slip Motorcycle Gloves Half Finger Wear-Resistant Riding Gloves for Men Women,269,10K+,AutoMalll.ph,15%,₱40.35,https://shopee.ph/product/1401539235/28778146609,https://s.shopee.ph/8phnzbygSE
26874922438,4 pcs set bubble towel headband spa set wristband hairclamp flower hair clip accessory facewash,95,1K+,Queenyard,9%,₱8.55,https://shopee.ph/product/5445793/26874922438,https://s.shopee.ph/8fONnIzJnD
26780947498,90cm * 180cm Summer Silk Scarf Women's High end Luxury and Gorgeous Brocade Printed Extended Thin Shawl Outer Decoration Scarf Beach Scarf Sunscreen Headscarf,180,1K+,☘️Time Story .ph☘️,11%,₱19.80,https://shopee.ph/product/988791904/26780947498,https://s.shopee.ph/7AZa0Y51pw
40828172043,"ARIRANG BTS CAP - vintage, baseball, corduroy cap (printed)",198,350,taylor-madeph,4%,₱7.92,https://shopee.ph/product/224688758/40828172043,https://s.shopee.ph/70G9oF5fAv
25779183441,Vnox 5pcs Gold Bracelet Sets for Women Girls 18K Gold Chain Dainty Link Paperclip Bead Twisted Bracelets Stake Adjustable Layered Link Bracelet Set Fashion Jewelry,174,4K+,Vnox Global Store,15%,₱26.10,https://shopee.ph/product/235558693/25779183441,https://s.shopee.ph/6pwjbw6IVu
7962097972,"ilovedivi Best seller Sanrio 1/4kg, 1/2kg, 1 kilo one pack ,ponytail ,hairtie for kids women sanrio",82,10K+,ilovedivi.ph,9%,₱7.38,https://shopee.ph/product/305191696/7962097972,https://s.shopee.ph/6fdJPd6vqt
2371820069,【MISS YOU】Fashion women magic shawl beach sunscreen chiffon shawl,88,10K+,MISS YOU,4%,₱3.52,https://shopee.ph/product/31721703/2371820069,https://s.shopee.ph/7ppGnm2UU8
43001653367,Summer Unisex UPF 50+ HyunA same cowboy hat sun protection women's sun hat large brim washable,139,1K+,M_eeeee,8%,₱11.12,https://shopee.ph/product/413995352/43001653367,https://s.shopee.ph/7fVqbT37p7
