Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
58001781441,"Augusta Singapore Designer Freshwater Pearl Choker & Gold Heart Necklace Set | Layered Pearl Choker with Heart Pendant, Elegant Jewelry Gift for Women",2.7K,0,Augusta ,34%,₱917.66,https://shopee.ph/product/1454385880/58001781441,https://s.shopee.ph/3LMrL4iXjW
48902705255,Alloy Gold-Plated Inlaid Jade Pendant Jade Dragon Phoenix Guanyin Buddha Gold-Plated Pendant Flowing Maitreya Buddha,832,1,yuheyuan.ph,17%,₱141.44,https://shopee.ph/product/1635234894/48902705255,https://s.shopee.ph/3VgHXNhuOZ
40119056376,Phomemo A285M Portable A4 Printer printer bluetooth for students a4 300DPI Wireless Bluetooth Inkless Thermal Printer,3.2K,46,Phomemo.Philippines,15%,₱479.70,https://shopee.ph/product/1155419251/40119056376,https://s.shopee.ph/30k0wSjoPU
56055826524,Diamond-encrusted Hair Clip Heart Hair Clip Pearl Hair Clip Bow Hair Clip Women's Hair Clip Women's Accessories Couple's Gift,351,0,Moonds.ph,13%,₱45.63,https://shopee.ph/product/1708304037/56055826524,https://s.shopee.ph/3B3R8ljB4X
57301708766,"Augusta Singapore Designer Gold Cross & Oval Medallion Necklace | Double Layer Chain Necklace, Inspirational Jewelry Gift for Women",1.2K,1,Augusta ,34%,₱392.70,https://shopee.ph/product/1454385880/57301708766,https://s.shopee.ph/2g7AXql55S
28016414523,JJ Anchors | All-Wealth Charm with 14k Gold-filled bead,1.9K,14,JJ Anchors Co.,15%,₱278.40,https://shopee.ph/product/1379570905/28016414523,https://s.shopee.ph/2qQak9kRkV
54105627030,Double Layer Flower Lace Hair Tie Lace Korean Style Autumn and Winter Personalized Hair Rope Fashion Versatile Head Rope Women's Accessories,328,0,Moonds.ph,13%,₱42.64,https://shopee.ph/product/1708304037/54105627030,https://s.shopee.ph/2LUK9EmLlQ
54005627098,Phoenix Brooch Pearl Tassel Chinese Style Fashion Exquisite Brooch Versatile New Style Pin Women's Accessory Gift,370,0,Moonds.ph,13%,₱48.10,https://shopee.ph/product/1708304037/54005627098,https://s.shopee.ph/2VnkLXliQT
57201460725,"Augusta Singapore Designer Green Gemstone Open Ring | Emerald Stone Adjustable Ring for Women, Lucky Jewelry Gift",1.3K,0,Augusta ,34%,₱430.10,https://shopee.ph/product/1454385880/57201460725,https://s.shopee.ph/20rTkcncRO
40579226491,Magic Wand Hairpin Star Hair Accessory Moon Headpiece Women's Headwear Women's Jewelry Couple's Gift Wholesale,328,0,Moonds.ph,13%,₱42.64,https://shopee.ph/product/1708304037/40579226491,https://s.shopee.ph/2BAtwvmz6R
48255917416,"Lace hair ties, polka dot hair ties, lace hair ties, women's hair ties, women's accessories, couple's gifts wholesale",346,0,Moonds.ph,13%,₱44.98,https://shopee.ph/product/1708304037/48255917416,https://s.shopee.ph/1gEdM0ot7M
22161552117,Women Wallet Cardholder Three Fold Coin Purse Multi Function Mini Clutch Fashion Mini Embroidered Heart Coin Purse,129,10K+,starryshop1.ph,12.1%,₱15.61,https://shopee.ph/product/1118267471/22161552117,https://s.shopee.ph/1qY3YJoFmP
56252112385,[FLASH DEAL]【Augusta】Singapore Designer2026新款 Minimalist Open Ring |  Plated Adjustable Ring with Crystal Accents | Singapore Designer Dainty Jewelry for Women,2.1K,5,Augusta ,34%,₱730.66,https://shopee.ph/product/1454385880/56252112385,https://s.shopee.ph/1LbmxOq9nK
24140113495,【 Wholesale 】 40mm Virtual Bitcoin BTC Foreign Currency USD World Currency US Commemorative Coin Game Coin Portable Key Pendant Gift,89,130,【Lucky Jewelry】,11%,₱9.79,https://shopee.ph/product/1279050432/24140113495,https://s.shopee.ph/1VvD9hpWSN
48255917374,"Milk tea color hair ties, frosted hair ties, telephone cord hair ties, women's hair ties, women's accessories, couple's gifts wholesale",320,0,Moonds.ph,13%,₱41.60,https://shopee.ph/product/1708304037/48255917374,https://s.shopee.ph/10ywYmrQTI
29182374124,WSKEN High Speed Portable Handheld Fan Type-C Charging Mini Fan Suitable For Summer Outdoor Students,399,308,WSKEN Classic Store,11%,₱43.89,https://shopee.ph/product/1484104921/29182374124,https://s.shopee.ph/1BIMl5qn8L
56101690926,"Augusta Singapore Designer 'Blossom & Pearl' Double Layer Necklace | Rose Crystal & Pearl Pendant Necklace for Women, Elegant Gift",2.2K,13,Augusta ,34%,₱734.06,https://shopee.ph/product/1454385880/56101690926,https://s.shopee.ph/gM6AAsh9G
26790531237,BABULIN 2PC Sports Arm Sleeves Anti-UV Unisex Tattoo Sleeve Wrislet Cooling Compression Tattoo Cover,74,497,Babulin Shine,11%,₱8.14,https://shopee.ph/product/1545758082/26790531237,https://s.shopee.ph/qfWMTs3oJ
25464765062,Premium Feng Shui Bracelet Gift Box | Jewelry Storage Case for Travel & Daily Use,300,51,Lucky Life Manila,11%,₱33.00,https://shopee.ph/product/867841074/25464765062,https://s.shopee.ph/LjFlYtxpE
42474037498,"[BUY1 GET1]DRIED MANGO WITH SALT AND CHILI 3FFOOD – No Sugar, No Fried, Healthy Snack 100G/250G/500G",114,1K+,MoHon Food,10.01%,₱11.41,https://shopee.ph/product/1083889481/42474037498,https://s.shopee.ph/W2fxrtKUH
